"subject"	"activity_label"
-1	"LAYING"
-0.87239538	"LAYING"
-0.85384825	"LAYING"
-0.59200434	"LAYING"
-0.52106206	"LAYING"
-0.50382267	"LAYING"
-0.47255704	"LAYING"
-0.46644048	"LAYING"
-0.4208058	"LAYING"
-0.41627026	"LAYING"
-0.41265906	"SITTING"
-0.41192857	"LAYING"
-0.40995186	"LAYING"
-0.36723978	"LAYING"
-0.36120533	"LAYING"
-0.32564743	"SITTING"
-0.31761762	"LAYING"
-0.28379435	"LAYING"
-0.27857371	"LAYING"
-0.27706634	"LAYING"
-0.27033343	"LAYING"
-0.23910256	"LAYING"
-0.18826164	"LAYING"
-0.18139412	"SITTING"
-0.17902808	"LAYING"
-0.16642569	"LAYING"
-0.16108761	"WALKING_DOWNSTAIRS"
-0.10753016	"LAYING"
-0.10751381	"LAYING"
-0.10513023	"SITTING"
-0.088993912	"SITTING"
-0.083287063	"LAYING"
-0.07295394	"SITTING"
-0.066238871	"LAYING"
-0.0615055	"SITTING"
-0.061041328	"WALKING_UPSTAIRS"
-0.047663634	"WALKING_UPSTAIRS"
-0.041701306	"SITTING"
-0.029617097	"SITTING"
-0.029595164	"WALKING_UPSTAIRS"
-0.028548375	"LAYING"
-0.025282608	"WALKING_DOWNSTAIRS"
-0.021257043	"LAYING"
-0.01321445	"WALKING_UPSTAIRS"
-0.0088748512	"LAYING"
-0.0030603725	"SITTING"
-0.0023770934	"WALKING_UPSTAIRS"
0.0011888261	"LAYING"
0.0056960978	"WALKING_UPSTAIRS"
0.013903671	"SITTING"
0.015401592	"WALKING_UPSTAIRS"
0.017831814	"WALKING_UPSTAIRS"
0.019016151	"LAYING"
0.022331938	"WALKING_UPSTAIRS"
0.022459037	"LAYING"
0.026059171	"WALKING_DOWNSTAIRS"
0.027627558	"WALKING_UPSTAIRS"
0.028501893	"WALKING_DOWNSTAIRS"
0.029089121	"WALKING_UPSTAIRS"
0.02938717	"LAYING"
0.032150855	"SITTING"
0.03515894	"WALKING_UPSTAIRS"
0.040197961	"LAYING"
0.042405499	"LAYING"
0.044666967	"SITTING"
0.047593491	"WALKING_UPSTAIRS"
0.047926064	"WALKING_UPSTAIRS"
0.048761309	"WALKING_DOWNSTAIRS"
0.050852588	"WALKING_DOWNSTAIRS"
0.051028466	"LAYING"
0.053458646	"LAYING"
0.053574526	"LAYING"
0.055138153	"WALKING_UPSTAIRS"
0.057378168	"WALKING_UPSTAIRS"
0.057515757	"WALKING_UPSTAIRS"
0.05859506	"WALKING_UPSTAIRS"
0.058825669	"WALKING_UPSTAIRS"
0.061186573	"LAYING"
0.062630676	"WALKING_UPSTAIRS"
0.063685486	"WALKING_UPSTAIRS"
0.064073197	"WALKING_UPSTAIRS"
0.06542056	"WALKING_UPSTAIRS"
0.069324092	"WALKING_DOWNSTAIRS"
0.070536278	"LAYING"
0.070999584	"LAYING"
0.071035289	"WALKING_DOWNSTAIRS"
0.073728786	"WALKING_UPSTAIRS"
0.074787876	"WALKING_DOWNSTAIRS"
0.075547189	"WALKING_DOWNSTAIRS"
0.076304242	"WALKING_DOWNSTAIRS"
0.07654368	"LAYING"
0.076997618	"SITTING"
0.07710126	"LAYING"
0.077308875	"WALKING_UPSTAIRS"
0.077319451	"WALKING_UPSTAIRS"
0.078156973	"WALKING_UPSTAIRS"
0.078542448	"WALKING_UPSTAIRS"
0.079402186	"SITTING"
0.080398514	"WALKING_UPSTAIRS"
0.081372604	"LAYING"
0.081698791	"WALKING_UPSTAIRS"
0.084683464	"WALKING_DOWNSTAIRS"
0.087568143	"WALKING_DOWNSTAIRS"
0.087901707	"WALKING_UPSTAIRS"
0.088292784	"WALKING_DOWNSTAIRS"
0.088857203	"WALKING_DOWNSTAIRS"
0.08892754	"WALKING_DOWNSTAIRS"
0.090218788	"SITTING"
0.090659537	"WALKING_DOWNSTAIRS"
0.091124312	"WALKING_UPSTAIRS"
0.092526775	"WALKING_UPSTAIRS"
0.093068135	"SITTING"
0.093371196	"WALKING_UPSTAIRS"
0.095979677	"WALKING_UPSTAIRS"
0.097182009	"WALKING_DOWNSTAIRS"
0.09719029	"SITTING"
0.097256431	"WALKING_DOWNSTAIRS"
0.097830479	"WALKING_DOWNSTAIRS"
0.098749385	"WALKING_UPSTAIRS"
0.10024099	"WALKING_DOWNSTAIRS"
0.10035411	"WALKING_DOWNSTAIRS"
0.10192897	"WALKING_UPSTAIRS"
0.10222138	"WALKING_DOWNSTAIRS"
0.10222923	"WALKING_UPSTAIRS"
0.10417428	"WALKING_UPSTAIRS"
0.10481167	"SITTING"
0.10524548	"WALKING_UPSTAIRS"
0.10533848	"WALKING_UPSTAIRS"
0.10566507	"LAYING"
0.10569277	"WALKING_UPSTAIRS"
0.10772883	"WALKING_DOWNSTAIRS"
0.10777805	"LAYING"
0.1084854	"WALKING_DOWNSTAIRS"
0.1087847	"WALKING_DOWNSTAIRS"
0.10900062	"WALKING_UPSTAIRS"
0.10974712	"WALKING_DOWNSTAIRS"
0.11123126	"STANDING"
0.11131242	"WALKING_DOWNSTAIRS"
0.11169003	"WALKING_UPSTAIRS"
0.11174503	"WALKING_UPSTAIRS"
0.11234856	"WALKING_DOWNSTAIRS"
0.11238966	"WALKING_UPSTAIRS"
0.1125393	"WALKING_DOWNSTAIRS"
0.11323824	"LAYING"
0.11336129	"WALKING_DOWNSTAIRS"
0.11344723	"WALKING_DOWNSTAIRS"
0.11355001	"WALKING_DOWNSTAIRS"
0.11356913	"WALKING_UPSTAIRS"
0.11384184	"LAYING"
0.11418006	"WALKING_DOWNSTAIRS"
0.11418016	"WALKING_DOWNSTAIRS"
0.11450563	"WALKING_UPSTAIRS"
0.11459357	"WALKING_DOWNSTAIRS"
0.11486635	"WALKING_DOWNSTAIRS"
0.11545218	"WALKING_DOWNSTAIRS"
0.11628627	"WALKING_DOWNSTAIRS"
0.1163345	"WALKING_UPSTAIRS"
0.11688337	"WALKING_UPSTAIRS"
0.11776128	"WALKING_DOWNSTAIRS"
0.11776522	"SITTING"
0.11780708	"WALKING_DOWNSTAIRS"
0.11805601	"WALKING_DOWNSTAIRS"
0.11851475	"SITTING"
0.1195509	"WALKING_UPSTAIRS"
0.12025391	"WALKING_DOWNSTAIRS"
0.12080064	"SITTING"
0.12111138	"WALKING_UPSTAIRS"
0.12138473	"WALKING_UPSTAIRS"
0.12146517	"WALKING"
0.12147198	"WALKING_DOWNSTAIRS"
0.12155438	"WALKING_UPSTAIRS"
0.12157767	"WALKING_UPSTAIRS"
0.12166437	"WALKING_DOWNSTAIRS"
0.12181363	"WALKING_UPSTAIRS"
0.12240534	"WALKING_UPSTAIRS"
0.12339232	"WALKING_UPSTAIRS"
0.1235127	"WALKING_DOWNSTAIRS"
0.12387091	"WALKING_UPSTAIRS"
0.12435587	"WALKING_UPSTAIRS"
0.12486678	"WALKING_DOWNSTAIRS"
0.12515895	"WALKING_UPSTAIRS"
0.12555853	"WALKING_DOWNSTAIRS"
0.12592012	"WALKING_DOWNSTAIRS"
0.12623258	"WALKING_UPSTAIRS"
0.12666467	"WALKING_UPSTAIRS"
0.12697024	"WALKING_DOWNSTAIRS"
0.12793752	"WALKING_DOWNSTAIRS"
0.12803974	"WALKING_UPSTAIRS"
0.1280471	"WALKING_UPSTAIRS"
0.12806415	"WALKING_UPSTAIRS"
0.12861812	"LAYING"
0.12878424	"WALKING_UPSTAIRS"
0.12886	"WALKING_DOWNSTAIRS"
0.12888592	"WALKING_UPSTAIRS"
0.12951378	"WALKING_DOWNSTAIRS"
0.12998991	"SITTING"
0.13001261	"WALKING_DOWNSTAIRS"
0.13046118	"WALKING_DOWNSTAIRS"
0.13056706	"WALKING_DOWNSTAIRS"
0.13091181	"WALKING_DOWNSTAIRS"
0.13096993	"WALKING_UPSTAIRS"
0.13105294	"WALKING"
0.13120472	"WALKING_DOWNSTAIRS"
0.13120716	"WALKING_UPSTAIRS"
0.13125238	"LAYING"
0.13143218	"WALKING_UPSTAIRS"
0.13151741	"WALKING_UPSTAIRS"
0.13152726	"WALKING_UPSTAIRS"
0.13190806	"WALKING_UPSTAIRS"
0.1321928	"LAYING"
0.13238433	"WALKING_UPSTAIRS"
0.13262041	"WALKING_DOWNSTAIRS"
0.13263325	"WALKING_UPSTAIRS"
0.13267581	"WALKING_UPSTAIRS"
0.13288482	"WALKING_DOWNSTAIRS"
0.13329999	"WALKING_DOWNSTAIRS"
0.13332561	"WALKING_UPSTAIRS"
0.13336351	"WALKING_UPSTAIRS"
0.1334979	"SITTING"
0.13352938	"WALKING_DOWNSTAIRS"
0.13373761	"WALKING_UPSTAIRS"
0.1339655	"WALKING_UPSTAIRS"
0.13452444	"WALKING_UPSTAIRS"
0.13462299	"WALKING_UPSTAIRS"
0.13502173	"WALKING"
0.13530156	"WALKING_DOWNSTAIRS"
0.1356538	"WALKING_UPSTAIRS"
